linkId,roadName,speed_kmh,congestion_level,observed_at
2950109900,서천로,23,,20251029111500
2950110000,서천로,15,,20251029111500
2950110100,서천로,22,,20251029111500
2950110200,서천로,24,,20251029111500
2950110300,충절로41번길,9,,20251029111500
2950110400,-,26,,20251029111500
2950110500,-,28,,20251029111500
2950110600,충절로41번길,31,,20251029111500
2950110700,충절로41번길,32,,20251029111500
2950110800,서천로,24,,20251029111500
2950110900,충절로41번길,9,,20251029111500
2950111000,충절로41번길,30,,20251029111500
2950111100,충절로41번길,35,,20251029111500
2950111200,충절로41번길,31,,20251029111500
2950111300,충절로41번길,32,,20251029111500
2950111400,사곡길,17,,20251029111500
2950111500,충절로41번길,32,,20251029111500
2950111600,사곡길,32,,20251029111500
2950111700,충절로41번길,30,,20251029111500
2950111800,충절로,19,,20251029111500
2950111900,충절로,19,,20251029111500
2950112000,충절로49번길,15,,20251029111500
2950112100,충절로49번길,31,,20251029111500
2950112200,충절로49번길,27,,20251029111500
2950112300,충절로49번길,29,,20251029111500
2950112400,서천로164번길,33,,20251029111500
2950112500,충절로49번길,29,,20251029111500
2950112600,서천로164번길,33,,20251029111500
2950112700,충절로49번길,33,,20251029111500
2950112800,사곡로,27,,20251029111500
2950112900,사곡로,26,,20251029111500
2950113000,충절로41번길,32,,20251029111500
2950113100,충절로41번길,30,,20251029111500
2950113200,충절로49번길,7,,20251029111500
2950113300,충절로,21,,20251029111500
2950113400,충절로,17,,20251029111500
2950113500,서천로,19,,20251029111500
2950113600,충절로49번길,6,,20251029111500
2950113700,서천로,25,,20251029111500
2950113800,충절로49번길,12,,20251029111500
2950113900,사곡길,14,,20251029111500
2950114000,충절로49번길,9,,20251029111500
2950114100,사곡길,27,,20251029111500
2950114200,충절로49번길,15,,20251029111500
2950114300,충절로49번길,15,,20251029111500
2950114400,충절로,21,,20251029111500
2950114500,충절로,20,,20251029111500
2950114600,충절로49번길,18,,20251029111500
2950114700,충절로59번길,10,,20251029111500
2950114800,사곡길10번길,22,,20251029111500
2950114900,충절로59번길,5,,20251029111500
2950115000,충절로49번길,17,,20251029111500
2950115100,사곡길10번길,31,,20251029111500
2950115200,충절로49번길,17,,20251029111500
2950115300,충절로59번길,31,,20251029111500
2950115400,충절로59번길,33,,20251029111500
2950115500,충절로49번길,9,,20251029111500
2950115600,충절로59번길,10,,20251029111500
2950115700,충절로59번길,10,,20251029111500
2950115800,충절로59번길,8,,20251029111500
2950115900,충절로59번길,15,,20251029111500
2950116000,충절로59번길,12,,20251029111500
2950116100,충절로59번길,31,,20251029111500
2950116200,충절로,27,,20251029111500
2950116300,충절로59번길,32,,20251029111500
2950116400,충절로59번길,16,,20251029111500
2950116500,충절로,29,,20251029111500
2950116600,사곡로,30,,20251029111500
2950116700,사곡로,35,,20251029111500
2950116800,충절로59번길,30,,20251029111500
2950116900,사곡길,16,,20251029111500
2950117000,충절로59번길,32,,20251029111500
2950117100,사곡길,23,,20251029111500
2950117200,충절로59번길,16,,20251029111500
2950117300,충절로59번길,14,,20251029111500
2950117400,서천로,26,,20251029111500
2950117500,군청로,18,,20251029111500
2950117600,서천로,23,,20251029111500
2950117700,충절로59번길,8,,20251029111500
2950117800,군청로,23,,20251029111500
2950117900,충절로59번길,9,,20251029111500
2950118000,군청로,32,,20251029111500
2950118100,군청로,24,,20251029111500
2950118202,사곡로43번길,25,,20251029111500
2950118300,군청로,19,,20251029111500
2950118401,사곡로43번길,27,,20251029111500
2950118500,군청로,24,,20251029111500
2950118600,군청로,20,,20251029111500
2950118700,사곡로,26.7,,20251029111500
2950118800,사곡로,27,,20251029111500
2950118900,군청로,11,,20251029111500
2950119000,군청로,10,,20251029111500
2950119100,충절로,36,,20251029111500
2950119200,충절로,37,,20251029111500
2950119300,군청로,33,,20251029111500
2950119400,군청로,32,,20251029111500
2950119500,-,28,,20251029111500
2950119600,군청로,18,,20251029111500
2950119700,-,14,,20251029111500
2950119800,군청로,34,,20251029111500
2950119900,군청로,29,,20251029111500
2950120000,서천로,26,,20251029111500
2950120100,서천로,23,,20251029111500
2950120200,사곡로75번길,24,,20251029111500
2950120300,서천로75번길,33,,20251029111500
2950120400,서천로75번길,14,,20251029111500
2950120500,군청안길,13,,20251029111500
2950120600,서천로75번길,25,,20251029111500
2950120700,사곡로75번길,30,,20251029111500
